id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
45392,,2013,True,Clear,3,1159,1951,Seleka - Civilians,1159,2433,Seleka - Civilians,1159,1159,Seleka,9999,1,Civilians,1,"""Agence France Presse,2013-06-27,C. Africa in grip of 'severe humanitarian crisis'""",Agence France Presse,2013-06-27,C. Africa in grip of 'severe humanitarian crisis',HRW,6,Central African Republic,,,,7.000000,21.000000,POINT (21.000000 7.000000),140083,Central African Republic,482,Africa,2,5,02/01/2013 00:00:00,06/27/2013 00:00:00,0,0,35,0,35,35,35,
45402,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Middle East, 2013-01-31, Yemeni ambulance driver killed by Al-Qa'idah elements in Al-Bayda town// BBC Monitoring Middle East, 2013-02-06, Al-Qa'idah - linked militants ""mutilate"" bodies of two Yemeni soldiers",,,,Medical sources,4,al-Bayḑā’ governorate,,al-Bayḑā’ governorate,,14.341660,45.394420,POINT (45.394420 14.341660),150211,Yemen (North Yemen),678,Middle East,1,3,01/25/2013 00:00:00,01/31/2013 00:00:00,2,0,0,0,2,2,2,
45405,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2013-02-24,  Yemen police officer killed in Al-Qaeda attack",,,,Yemen's defence ministry and official Saba news agency,4,al-Bayḑā’ governorate,,al-Bayḑā’ governorate,,14.341660,45.394420,POINT (45.394420 14.341660),150211,Yemen (North Yemen),678,Middle East,1,1,02/24/2013 00:00:00,02/24/2013 00:00:00,0,0,0,0,0,1,0,
45406,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Middle East, 2013-02-25, Yemeni official says Al-Qa'idah ""cleansed"" from part of Rada area",,,,Security sources,2,Radā‘ town,,al-Bayḑā’ governorate,Radā‘ district,14.415097,44.837089,POINT (44.837089 14.415097),150210,Yemen (North Yemen),678,Middle East,1,1,02/18/2013 00:00:00,02/18/2013 00:00:00,11,1,0,0,12,12,12,
45407,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2013-03-21, Five killed in Yemen clash between al Qaeda fighters, militia",,,,Residents and militia sources,4,Abyan governorate,,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,03/21/2013 00:00:00,03/21/2013 00:00:00,2,3,0,0,5,5,5,
45408,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2013-03-21, Five killed in Yemen clash between al Qaeda fighters, militia",,,,Militia sources,4,Abyan governorate,,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,03/20/2013 00:00:00,03/20/2013 00:00:00,1,0,0,0,1,1,1,
45409,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2013-03-04, 'Qaeda' suicide bomb kills 12 in Yemen: witness, medics",,,,A member of the group and medics,1,Lawdar town,,Abyan governorate,Lawdar district,13.882824,45.868586,POINT (45.868586 13.882824),149492,Yemen (North Yemen),678,Middle East,1,1,03/04/2013 00:00:00,03/04/2013 00:00:00,12,1,0,0,13,13,13,
45410,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2013-08-01, New US drone strike in Yemen as Hadi to meet Obama",,,,A security official,4,Ḩaḑramawt governorate,,Ḩaḑramawt governorate,,16.000000,49.000000,POINT (49.000000 16.000000),153099,Yemen (North Yemen),678,Middle East,1,1,08/01/2013 00:00:00,08/01/2013 00:00:00,0,4,0,0,4,4,4,
45411,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2013-04-18, Drone strike kills five Yemen Qaeda suspects: official",,,,Agence France Presse,4,Shabwah governorate,,Shabwah governorate,,15.000000,47.000000,POINT (47.000000 15.000000),151655,Yemen (North Yemen),678,Middle East,1,4,02/01/2013 00:00:00,02/28/2013 00:00:00,0,1,0,0,1,1,1,
45412,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Middle East, 2013-06-17, Three Al-Qa'idah militants said killed in clashes with Yemeni army in Lahij",,,,Local sources,4,Laḩij governorate,,Laḩij governorate,,13.166667,44.583332,POINT (44.583332 13.166667),148770,Yemen (North Yemen),678,Middle East,1,1,06/16/2013 00:00:00,06/16/2013 00:00:00,0,3,0,0,3,3,3,
45413,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Middle East, 2013-07-02, Unknown gunmen killYemeni Justice Ministry official in Sanaa",,,,Al-Sahwah website,1,Şan‘ā’ city,,Amānat al ‘Āşimah governorate,,15.354722,44.206667,POINT (44.206667 15.354722),151649,Yemen (North Yemen),678,Middle East,1,1,07/01/2013 00:00:00,07/01/2013 00:00:00,0,0,0,0,0,1,0,
45415,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2013-08-07, 7 killed as Qaeda in Yemen again targeted by US drone",,,,Tribal sources,4,Shabwah governorate,,Shabwah governorate,,15.000000,47.000000,POINT (47.000000 15.000000),151655,Yemen (North Yemen),678,Middle East,1,1,08/07/2013 00:00:00,08/07/2013 00:00:00,0,7,0,0,7,7,7,
45421,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2013-08-23, Suicide bomb kills 2 soldiers in Yemen: military",,,,A military official,1,Shibām town,,Ḩaḑramawt governorate,Shibām district,15.926944,48.626667,POINT (48.626667 15.926944),152378,Yemen (North Yemen),678,Middle East,1,1,08/23/2013 00:00:00,08/23/2013 00:00:00,2,1,0,0,3,3,3,
45422,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2013-08-25, Bus bombing kills one Yemen air force soldier: spokesman",,,,An air force spokesman,2,Şan‘ā’ city,,Amānat al ‘Āşimah governorate,,15.354722,44.206667,POINT (44.206667 15.354722),151649,Yemen (North Yemen),678,Middle East,1,1,08/25/2013 00:00:00,08/25/2013 00:00:00,1,0,0,0,1,1,1,
45423,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2013-08-30, Drone killsAl-Qaeda leader in Yemen: tribal source",,,,A tribal source,1,Şurm al Manāsiḩ village,,al-Bayḑā’ governorate,Wald Rabī‘a district,14.579762,44.750219,POINT (44.750219 14.579762),150930,Yemen (North Yemen),678,Middle East,1,1,08/30/2013 00:00:00,08/30/2013 00:00:00,0,1,0,2,3,3,3,
45424,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Middle East, 2013-08-30, Yemeni intelligence officer assassinated in Ta'izz",,,,A security source,1,Ta'izz town,,Ta'izz governorate,,13.579522,44.020908,POINT (44.020908 13.579522),149489,Yemen (North Yemen),678,Middle East,1,1,08/29/2013 00:00:00,08/29/2013 00:00:00,0,0,0,0,0,1,0,
45425,,2013,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2013-08-31, Intelligence officer killed in south Yemen",,,,A local official,1,Laḩij town,,Laḩij governorate,Al Ḩawţah district,13.056667,44.881944,POINT (44.881944 13.056667),148770,Yemen (North Yemen),678,Middle East,1,1,08/31/2013 00:00:00,08/31/2013 00:00:00,1,1,0,0,2,2,2,
