Timestamp,RSS,SIR Values,Normalized SIR,True Values,Normalized True
04-06-15,5.75E-01,6.68E-08,1.00000E+00,15,0.241935484
04-06-15,7.31E-01,4.04E-07,9.99998E-01,9,0.14516129
04-06-15,8.16E-01,1.62E-06,9.99992E-01,6,0.096774194
05-06-15,8.45E-01,5.96E-06,9.99969E-01,5,0.080645161
06-06-15,7.31E-01,2.20E-05,9.99885E-01,9,0.14516129
06-06-15,8.44E-01,8.07E-05,9.99580E-01,5,0.080645161
08-06-15,5.72E-01,2.93E-04,9.98482E-01,15,0.241935484
09-06-15,7.21E-01,1.06E-03,9.94545E-01,9,0.14516129
09-06-15,9.30E-01,3.82E-03,9.80626E-01,1,0.016129032
11-06-15,8.85E-01,1.36E-02,5.94058E-02,62,1
12-06-15,1.72E-02,4.69E-02,1.79464E-01,3,0.048387097
16-06-15,2.09E-03,1.47E-01,4.05924E-01,28,0.451612903
16-06-15,1.72E-01,3.57E-01,6.08658E-01,12,0.193548387
16-06-15,4.26E-01,5.79E-01,6.69111E-01,1,0.016129032
19-06-15,3.85E-01,6.67E-01,6.36346E-01,1,0.016129032
20-06-15,2.42E-01,6.47E-01,5.72622E-01,5,0.080645161
23-06-15,1.07E-01,5.86E-01,5.04608E-01,11,0.177419355
23-06-15,1.94E-01,5.18E-01,4.40924E-01,0,0
26-06-15,8.24E-02,4.53E-01,3.83842E-01,6,0.096774194
26-06-15,1.01E-01,3.95E-01,3.33554E-01,1,0.016129032
30-06-15,2.58E-02,3.43E-01,2.89586E-01,8,0.129032258
03-07-15,3.49E-02,2.98E-01,2.51284E-01,4,0.064516129
03-07-15,3.45E-02,2.58E-01,2.17984E-01,2,0.032258065
07-07-15,2.99E-02,2.24E-01,1.89061E-01,1,0.016129032
