Timestamp,RSS,SIR Values,Normalized SIR,True Values,Normalized True
31-05-15,8.45E-01,1.67E-07,1.00000E+00,5,0.080645161
31-05-15,9.68E-01,6.63E-07,9.99999E-01,1,0.016129032
01-06-15,9.06E-01,2.43E-06,9.99997E-01,3,0.048387097
01-06-15,9.37E-01,9.45E-06,9.99990E-01,2,0.032258065
04-06-15,5.75E-01,3.41E-05,9.99962E-01,15,0.241935484
04-06-15,7.31E-01,1.25E-04,9.99861E-01,9,0.14516129
04-06-15,8.15E-01,4.56E-04,9.99494E-01,6,0.096774194
05-06-15,8.42E-01,1.64E-03,9.98173E-01,5,0.080645161
06-06-15,7.20E-01,5.90E-03,9.93445E-01,9,0.14516129
06-06-15,3.57E-03,2.09E-02,2.08548E-02,5,0.080645161
08-06-15,2.94E-02,7.04E-02,7.04072E-02,15,0.241935484
09-06-15,3.76E-03,2.06E-01,2.06463E-01,9,0.14516129
09-06-15,1.81E-01,4.41E-01,4.41415E-01,1,0.016129032
11-06-15,1.40E-01,6.26E-01,6.26185E-01,62,1
12-06-15,3.84E-01,6.68E-01,6.68243E-01,3,0.048387097
16-06-15,3.12E-02,6.28E-01,6.28125E-01,28,0.451612903
16-06-15,1.36E-01,5.63E-01,5.62762E-01,12,0.193548387
16-06-15,2.29E-01,4.95E-01,4.95068E-01,1,0.016129032
19-06-15,1.73E-01,4.32E-01,4.32271E-01,1,0.016129032
20-06-15,8.73E-02,3.76E-01,3.76181E-01,5,0.080645161
23-06-15,2.23E-02,3.27E-01,3.26840E-01,11,0.177419355
23-06-15,8.05E-02,2.84E-01,2.83731E-01,0,0
26-06-15,2.23E-02,2.46E-01,2.46191E-01,6,0.096774194
26-06-15,3.90E-02,2.14E-01,2.13558E-01,1,0.016129032
