Timestamp,RSS,SIR Values,Normalized SIR,True Values,Normalized True
25-03-14,1.80E-05,6.64E-06,9.93E-06,1,0.004255319
26-03-14,0.000650007,2.45E-05,3.67E-05,6,0.025531915
27-03-14,1.70E-05,9.01E-05,1.35E-04,1,0.004255319
10-04-14,0.004568982,3.28E-04,4.91E-04,16,0.068085106
14-04-14,0.001041314,1.19E-03,1.77E-03,8,0.034042553
16-04-14,0.000222155,4.26E-03,6.37E-03,5,0.021276596
17-04-14,0.001362764,1.51E-02,2.27E-02,14,0.059574468
20-04-14,0.003699337,5.20E-02,7.78E-02,4,0.017021277
23-04-14,0.057604498,1.60E-01,2.40E-01,0,0
24-04-14,0.287280696,3.78E-01,5.66E-01,7,0.029787234
26-04-14,0.786579207,5.93E-01,8.87E-01,0,0
01-05-14,0,6.68E-01,1.00E+00,235,1
07-05-14,0.411705063,6.42E-01,9.61E-01,75,0.319148936
14-05-14,0.745837447,5.80E-01,8.68E-01,1,0.004255319
15-05-14,0.344804801,5.12E-01,7.66E-01,42,0.178723404
16-05-14,0.351748325,4.48E-01,6.70E-01,18,0.076595745
22-05-14,0.325339264,3.90E-01,5.83E-01,3,0.012765957
23-05-14,0.252574247,3.39E-01,5.07E-01,1,0.004255319
28-05-14,0.061781617,2.94E-01,4.40E-01,45,0.191489362
04-06-14,0.13939255,2.55E-01,3.82E-01,2,0.008510638
11-06-14,0.106936517,2.21E-01,3.31E-01,1,0.004255319
13-06-14,0.077733489,1.92E-01,2.87E-01,2,0.008510638
14-06-14,0.034350234,1.67E-01,2.49E-01,15,0.063829787
16-06-14,0.04307899,1.44E-01,2.16E-01,2,0.008510638
