Timestamp,RSS,SIR Values,Normalized SIR,True Values,Normalized True
26-12-14,8.23E-01,1.34E-07,1.00000E+00,4,0.093023256
05-01-15,8.23E-01,8.07E-07,9.99999E-01,4,0.093023256
05-01-15,1.05E+00,3.24E-06,9.99997E-01,-1,-0.023255814
15-01-15,9.09E-01,1.19E-05,9.99987E-01,2,0.046511628
16-01-15,7.81E-01,4.39E-05,9.99951E-01,5,0.11627907
20-01-15,9.54E-01,1.60E-04,9.99822E-01,1,0.023255814
23-01-15,6.24E-01,5.83E-04,9.99352E-01,9,0.209302326
03-02-15,5.85E-01,2.10E-03,9.97666E-01,10,0.23255814
11-02-15,9.38E-01,7.52E-03,9.91636E-01,1,0.023255814
11-02-15,1.03E-05,2.65E-02,2.64675E-02,1,0.023255814
11-02-15,4.17E-03,8.79E-02,8.78596E-02,1,0.023255814
13-02-15,1.69E-02,2.46E-01,2.46132E-01,5,0.11627907
16-02-15,2.64E-01,4.87E-01,4.86567E-01,43,1
23-02-15,3.04E-01,6.44E-01,6.44406E-01,4,0.093023256
26-02-15,1.87E-01,6.65E-01,6.64582E-01,10,0.23255814
06-03-15,3.52E-01,6.17E-01,6.16505E-01,1,0.023255814
09-03-15,1.16E-02,5.50E-01,5.49630E-01,19,0.441860465
11-03-15,1.22E-02,4.83E-01,4.82566E-01,16,0.372093023
11-03-15,1.97E-01,4.21E-01,4.20996E-01,-1,-0.023255814
20-03-15,3.02E-04,3.66E-01,3.66222E-01,15,0.348837209
26-03-15,1.53E-03,3.18E-01,3.18122E-01,12,0.279069767
09-04-15,3.35E-02,2.76E-01,2.76131E-01,4,0.093023256
16-04-15,2.15E-02,2.40E-01,2.39581E-01,4,0.093023256
29-04-15,2.60E-02,2.08E-01,2.07816E-01,2,0.046511628
