Timestamp,RSS,SIR Values,Normalized SIR,True Values,Normalized True
11-06-14,9.83E-01,1.34E-07,1.00000E+00,1,0.008547009
13-06-14,9.66E-01,8.07E-07,1.00000E+00,2,0.017094017
14-06-14,7.60E-01,3.24E-06,9.99999E-01,15,0.128205128
16-06-14,9.66E-01,1.19E-05,9.99997E-01,2,0.017094017
25-06-14,1.49E-10,4.39E-05,9.99988E-01,117,1
26-06-14,9.33E-01,1.60E-04,9.99955E-01,4,0.034188034
02-07-14,9.49E-01,5.83E-04,9.99836E-01,3,0.025641026
04-07-14,8.83E-01,2.10E-03,9.99404E-01,7,0.05982906
14-07-14,9.62E-01,7.52E-03,9.97850E-01,2,0.017094017
14-07-14,2.61E-06,2.65E-02,6.93149E-03,1,0.008547009
23-07-14,1.26E-02,8.79E-02,2.44355E-02,16,0.136752137
02-10-14,5.34E-03,2.46E-01,8.16103E-02,1,0.008547009
16-10-14,2.41E-04,4.87E-01,2.32349E-01,29,0.247863248
24-10-14,2.07E-01,6.44E-01,4.71737E-01,2,0.017094017
31-10-14,2.88E-01,6.65E-01,6.38912E-01,12,0.102564103
03-11-14,3.18E-01,6.17E-01,6.66101E-01,12,0.102564103
07-11-14,3.85E-01,5.50E-01,6.20485E-01,0,0
21-11-14,1.60E-01,4.83E-01,5.54041E-01,18,0.153846154
02-12-14,1.54E-01,4.21E-01,4.86743E-01,11,0.094017094
17-12-14,1.59E-01,3.66E-01,4.24755E-01,3,0.025641026
26-12-14,1.12E-01,3.18E-01,3.69539E-01,4,0.034188034
05-01-15,8.23E-02,2.76E-01,3.21025E-01,4,0.034188034
05-01-15,8.25E-02,2.40E-01,2.78661E-01,-1,-0.008547009
15-01-15,5.05E-02,2.08E-01,2.41782E-01,2,0.017094017
