Timestamp,RSS,SIR Values,Normalized SIR,True Values,Normalized True
25-03-14,9.91507E-01,3.34E-08,1.00000E+00,1,0.004255319
26-03-14,9.49588E-01,2.02E-07,1.00000E+00,6,0.025531915
27-03-14,9.91506E-01,8.10E-07,9.99999E-01,1,0.004255319
10-04-14,8.68459E-01,2.98E-06,9.99997E-01,16,0.068085106
14-04-14,9.33050E-01,1.10E-05,9.99988E-01,8,0.034042553
16-04-14,9.57812E-01,4.04E-05,9.99955E-01,5,0.021276596
17-04-14,8.84092E-01,1.47E-04,9.99836E-01,14,0.059574468
20-04-14,9.65077E-01,5.36E-04,9.99405E-01,4,0.017021277
23-04-14,9.95712E-01,1.93E-03,9.97854E-01,0,0
24-04-14,5.22942E-04,6.92E-03,6.91931E-03,7,0.029787234
26-04-14,5.95043E-04,2.44E-02,2.43935E-02,0,0
01-05-14,8.43678E-01,8.15E-02,8.14803E-02,235,1
07-05-14,7.58486E-03,2.32E-01,2.32058E-01,75,0.319148936
14-05-14,2.18237E-01,4.71E-01,4.71414E-01,1,0.004255319
15-05-14,2.11658E-01,6.39E-01,6.38787E-01,42,0.178723404
16-05-14,3.47551E-01,6.66E-01,6.66131E-01,18,0.076595745
22-05-14,3.69425E-01,6.21E-01,6.20569E-01,3,0.012765957
23-05-14,3.02368E-01,5.54E-01,5.54136E-01,1,0.004255319
28-05-14,8.72277E-02,4.87E-01,4.86833E-01,45,0.191489362
04-06-14,1.73327E-01,4.25E-01,4.24836E-01,2,0.008510638
11-06-14,1.33485E-01,3.70E-01,3.69611E-01,1,0.004255319
13-06-14,9.77044E-02,3.21E-01,3.21088E-01,2,0.008510638
14-06-14,4.61761E-02,2.79E-01,2.78716E-01,15,0.063829787
16-06-14,5.44375E-02,2.42E-01,2.41829E-01,2,0.008510638
